ID,NOME,WHATSAPP,NICHO,CATEGORIA,CIDADE,PAIS,NOTA,AVALIACOES,STATUS,DATA_ENVIO,NUMERO_USADO,MENSAGEM_ENVIADA
41,Matarazzo Freire Sociedade de Advogados,5521979426720,Sites desatualizados,Serviços jurídicos,Rio de Janeiro,BR,4.9,303,Pendente,,,
42,Advocacia Schettini,551120978125,Sites desatualizados,Serviços jurídicos,São Paulo,BR,4.9,290,Pendente,,,
43,Clínica Odontobarra Barra da Tijuca,5521995701789,Sites desatualizados,Dentista,Rio de Janeiro,BR,4.6,267,Pendente,,,
44,WP Salon Salão de Beleza Ipiranga,5511970177464,Sites desatualizados,Salão de Beleza,São Paulo,BR,4.8,264,Pendente,,,
45,Spettacolo Salone - Aclimação,551155718022,Sites desatualizados,Salão de Beleza,São Paulo,BR,4.6,262,Pendente,,,
46,Dream Smile Odontologia da Guanabara,5521995125162,Sites desatualizados,Dentista,Rio de Janeiro,BR,5,260,Pendente,,,
47,Garoni Imóveis Vila Leopoldina,5511982731418,Sites desatualizados,Imobiliária,São Paulo,BR,4.6,258,Pendente,,,
48,WhereInRio,5521969460929,Sites desatualizados,Agente imobiliário,Rio de Janeiro,BR,4.7,258,Pendente,,,
49,Studio Lu Rech - Barra Prime,552132560046,Sites desatualizados,Salão de Beleza,Rio de Janeiro,BR,4.9,243,Pendente,,,
50,Protekto Auto Services,5521976506860,Sites desatualizados,Oficina mecânica,Rio de Janeiro,BR,4.9,241,Pendente,,,
51,Judice & Araujo - Imóveis de Alto Padrão,552125409999,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,4.9,239,Pendente,,,
52,COB - Clínica Odontológica do Brás,551120810106,Sites desatualizados,Dentista,São Paulo,BR,4.9,237,Pendente,,,
53,Clínica Monique Moura Estética Avançada Ilha,5521999442788,Sites desatualizados,Centro de saúde e beleza,Rio de Janeiro,BR,5,237,Pendente,,,
54,Advocacia Nunes - Ermelino Matarazzo,5511947219921,Sites desatualizados,Serviços jurídicos,São Paulo,BR,4.9,233,Pendente,,,
55,Imobiliária Império Zona Leste,551122892143,Sites desatualizados,Imobiliária de aluguel de residências,São Paulo,BR,4.7,229,Pendente,,,
56,Guedes & Guedes - Advogados,5511954130513,Sites desatualizados,Advogado,São Paulo,BR,4.9,206,Pendente,,,
57,Bella Imobiliária,551134596029,Sites desatualizados,Imobiliária,São Paulo,BR,4.4,206,Pendente,,,
58,REMAX RAMPER - Pirituba,551127800443,Sites desatualizados,Imobiliária,São Paulo,BR,5,204,Pendente,,,
59,Copa Azul Digital - Imobiliária Copacabana,552130421948,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,4.9,204,Pendente,,,
60,VH Odontologia,552131701587,Sites desatualizados,Dentista,Rio de Janeiro,BR,5,193,Pendente,,,
61,Clinica Odontológica Sorridents Ermelino Matarazzo,551125452021,Sites desatualizados,Dentista,São Paulo,BR,4.7,191,Pendente,,,
62,Sorridents Bonsucesso Rio de Janeiro,5521996441408,Sites desatualizados,Dentista,Rio de Janeiro,BR,4.7,190,Pendente,,,
63,Imobiliária Renascença Barra da Tijuca,552133886090,Sites desatualizados,Corretora de aluguel de imóveis,Rio de Janeiro,BR,4.8,188,Pendente,,,
64,Royal Face Clínica de Estética Ilha do Governador,5521991520404,Sites desatualizados,Centro de saúde e beleza,Rio de Janeiro,BR,5,188,Pendente,,,
65,REMAX SOMMOS UNIÃO BROKERS Vila Leopoldina,5511998838036,Sites desatualizados,Imobiliária,São Paulo,BR,4.8,181,Pendente,,,
66,Oficina Edcar Catete,5521998084370,Sites desatualizados,Oficina mecânica,Rio de Janeiro,BR,4.9,176,Pendente,,,
67,D´Villa Imobiliária,5511993391214,Sites desatualizados,Imobiliária,São Paulo,BR,4.6,172,Pendente,,,
68,NORI Clínica Odontológica,5511997055149,Sites desatualizados,Dentista,São Paulo,BR,5,170,Pendente,,,
69,OM Auto Elétrica,5521969783101,Sites desatualizados,Oficina mecânica,Rio de Janeiro,BR,4.8,170,Pendente,,,
70,Clínica Thais Navega - Estética Personalizada,5511952195980,Sites desatualizados,Clínica especializada,São Paulo,BR,5,166,Pendente,,,
71,Sthanke Odontologia,551122270148,Sites desatualizados,Clínica odontológica,São Paulo,BR,4.7,165,Pendente,,,
72,Rio Couto Imóveis,5521996168899,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,5,163,Pendente,,,
73,Oliver Marques Imobiliária,551137685000,Sites desatualizados,Imobiliária,São Paulo,BR,4.3,160,Pendente,,,
74,Prez Odonto - Clínica Odontológica no Tatuapé,5511993996120,Sites desatualizados,Clínica odontológica,São Paulo,BR,4.9,158,Pendente,,,
75,Gamec Oficina Mecânica Cidade Dutra,5511939013340,Sites desatualizados,Oficina mecânica,São Paulo,BR,4.9,158,Pendente,,,
76,Mecânica Boldor,5521970462137,Sites desatualizados,Oficina mecânica,Rio de Janeiro,BR,4.8,155,Pendente,,,
77,Invicta Imobiliária - Ipanema,552132158066,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,5,154,Pendente,,,
78,RB Veículos Oficina Especializada,5521994449554,Sites desatualizados,Oficina mecânica,Rio de Janeiro,BR,4.9,153,Pendente,,,
79,DentalRio,5521992794180,Sites desatualizados,Dentista,Rio de Janeiro,BR,4.5,152,Pendente,,,
80,Colina Clin - Clínica Odontológica,5511999901358,Sites desatualizados,Clínica odontológica,São Paulo,BR,4.8,151,Pendente,,,
81,Grupo Centro Automotivo Jd Oceânico,552134328858,Sites desatualizados,Oficina mecânica,Rio de Janeiro,BR,4.8,151,Pendente,,,
82,Imobiliária Tatuapé - Balbás,551122953500,Sites desatualizados,Imobiliária,São Paulo,BR,4.8,150,Pendente,,,
83,Top Lar Imóveis Pirituba,551139718457,Sites desatualizados,Imobiliária,São Paulo,BR,3.9,150,Pendente,,,
84,Clínica Dra. Alice Freitas Invisalign Barra,5521994048945,Sites desatualizados,Clínica odontológica,Rio de Janeiro,BR,5,150,Pendente,,,
85,SorriaMed Barra da Tijuca,5521993254949,Sites desatualizados,Clínica odontológica,Rio de Janeiro,BR,5,148,Pendente,,,
86,Centro de Estética Janete Castro Limpeza de Pele,5511998896510,Sites desatualizados,Centro de saúde e beleza,São Paulo,BR,4.8,146,Pendente,,,
87,Royal Face Clínica de Estética - Santo Amaro,5511966279801,Sites desatualizados,Centro de saúde e beleza,São Paulo,BR,4.9,145,Pendente,,,
88,Advocacia Lopes,551151998350,Sites desatualizados,Serviços jurídicos,São Paulo,BR,5,145,Pendente,,,
89,Canuto e Nabarro Escritório de Advocacia,5521973691764,Sites desatualizados,Escritório de advocacia,Rio de Janeiro,BR,5,145,Pendente,,,
90,VGV Advogados Direito Médico,552135706100,Sites desatualizados,Serviços jurídicos,Rio de Janeiro,BR,5,144,Pendente,,,
91,Studio 331 Salão De Beleza Unissex,551123866521,Sites desatualizados,Salão de Beleza,São Paulo,BR,4.8,142,Pendente,,,
92,Oficina Mecânica Mult Injection Penha,551122966065,Sites desatualizados,Oficina mecânica,São Paulo,BR,4.8,140,Pendente,,,
93,Clínica Odontológica Mais Família,5511934489686,Sites desatualizados,Dentista,São Paulo,BR,4.9,135,Pendente,,,
94,MR Odontologia Especializada Guaianases,551125157777,Sites desatualizados,Dentista,São Paulo,BR,4.9,134,Pendente,,,
95,GiO Estética Avançada Ipiranga,551135392315,Sites desatualizados,Centro de saúde e beleza,São Paulo,BR,4.7,134,Pendente,,,
96,Teixeira Imobiliária,551139022882,Sites desatualizados,Imobiliária,São Paulo,BR,4.6,133,Pendente,,,
97,Clínica Salvus - Medicina e Estética Afetiva,5511948445629,Sites desatualizados,Centro de saúde e beleza,São Paulo,BR,4.8,133,Pendente,,,
98,Fê Seabra Studio Shopping Downtown,5521979526655,Sites desatualizados,Salão de Beleza,Rio de Janeiro,BR,5,133,Pendente,,,
99,Clínica Odontológica OrtoPretti,551125030597,Sites desatualizados,Dentista,São Paulo,BR,4.9,130,Pendente,,,
100,Adhara Clínica de Saúde Integrada Ipiranga,551134430445,Sites desatualizados,Centro estético,São Paulo,BR,4.9,130,Pendente,,,
101,REMAX LEE - Vila Leopoldina,5511973837150,Sites desatualizados,Imobiliária,São Paulo,BR,4.9,129,Pendente,,,
102,JTavares Assessoria Imobiliária em Ipanema,552132614200,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,4.4,123,Pendente,,,
103,Clínica Renata Vilela Stetic & Spa Ipanema,5521964841221,Sites desatualizados,Centro de saúde e beleza,Rio de Janeiro,BR,5,123,Pendente,,,
104,Solange Farias Advogada,5521985673981,Sites desatualizados,Advogado previdenciário,Rio de Janeiro,BR,5,121,Pendente,,,
105,Dannemann Siemsen,552122378700,Sites desatualizados,Serviços jurídicos,Rio de Janeiro,BR,4.6,121,Pendente,,,
106,Almenar Rio Soluções Automotivas,552125024015,Sites desatualizados,Oficina mecânica,Rio de Janeiro,BR,4.8,120,Pendente,,,
107,Clínica de Estética Hamonir,552139880888,Sites desatualizados,Centro de saúde e beleza,Rio de Janeiro,BR,4.9,119,Pendente,,,
108,Clínica Dra. Mileny Galeão,5521989190503,Sites desatualizados,Centro de saúde e beleza,Rio de Janeiro,BR,4.9,117,Pendente,,,
109,Jmcar Oficina Mecânica,5521985473138,Sites desatualizados,Mecânica para carros,Rio de Janeiro,BR,4.8,117,Pendente,,,
110,Pode Sorrir - Clínica Odontológica,551151999469,Sites desatualizados,Dentista,São Paulo,BR,4.9,116,Pendente,,,
111,Mozer Advocacia,5521970971920,Sites desatualizados,Advogado imobiliário,Rio de Janeiro,BR,4.9,115,Pendente,,,
112,R Vianna Advocacia Direito Imobiliário,5521964470831,Sites desatualizados,Advogado,Rio de Janeiro,BR,4.9,115,Pendente,,,
113,Advogado Criminalista Marcelo Vasconcelos,5521964424245,Sites desatualizados,Advogado criminal,Rio de Janeiro,BR,5,115,Pendente,,,
114,Reboque 24 Horas e Oficina Mecânica Bencar,552122757595,Sites desatualizados,Oficina mecânica,Rio de Janeiro,BR,4.8,115,Pendente,,,
115,Imobiliária Esteves,5511947597700,Sites desatualizados,Imobiliária,São Paulo,BR,5,114,Pendente,,,
116,Clínica de Estética Madame Face,5511913089597,Sites desatualizados,Clínica especializada,São Paulo,BR,5,112,Pendente,,,
117,Essência do Bem Estar Clínica estética,5511999115297,Sites desatualizados,Esteticista,São Paulo,BR,5,112,Pendente,,,
118,UNIQUE - Brasil Brokers - Loja Ipanema,5521935057574,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,4.9,112,Pendente,,,
119,Fast Break,552134191010,Sites desatualizados,Oficina mecânica,Rio de Janeiro,BR,4.8,111,Pendente,,,
120,Royal Face Clínica de Estética,5521977380133,Sites desatualizados,Centro de saúde e beleza,Rio de Janeiro,BR,4.7,110,Pendente,,,
121,Mecanautos Auto Center - Oficina Mecânica,5511952392069,Sites desatualizados,Oficina mecânica,São Paulo,BR,4.9,109,Pendente,,,
122,For Dent Clinica Dentária,552125804316,Sites desatualizados,Clínica odontológica,Rio de Janeiro,BR,4.5,109,Pendente,,,
123,REMAX SKY,552121460168,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,4.9,109,Pendente,,,
124,Dentista Dr Gerson Clínica Condent,552122708870,Sites desatualizados,Dentista,Rio de Janeiro,BR,4.8,106,Pendente,,,
125,Clínica Estética de Resultados Recreio,5521965092940,Sites desatualizados,Centro de saúde e beleza,Rio de Janeiro,BR,4.9,106,Pendente,,,
126,Marcos Viveiro Advogados Tatuapé,5511972634511,Sites desatualizados,Advogado,São Paulo,BR,5,103,Pendente,,,
127,REMAX MONARCA Imóveis Zona Norte,5511939346631,Sites desatualizados,Imobiliária,São Paulo,BR,4.9,103,Pendente,,,
128,Escritório de Advocacia Viviane Antunes,5511982628821,Sites desatualizados,Advogado(a) civil,São Paulo,BR,5,102,Pendente,,,
129,Global Imóveis Pirituba,551139748665,Sites desatualizados,Imobiliária,São Paulo,BR,3.8,102,Pendente,,,
130,Inova Premier - Clínica Odontológica,551138816100,Sites desatualizados,Dentista,São Paulo,BR,4.9,101,Pendente,,,
131,Vous Estética Vila Mariana,5511932515047,Sites desatualizados,Clínica especializada,São Paulo,BR,4.8,100,Pendente,,,
132,Studio Harmony Skin Ipiranga,5511995975084,Sites desatualizados,Centro estético,São Paulo,BR,5,99,Pendente,,,
133,Home Mechanic RJ,5521999895969,Sites desatualizados,Oficina mecânica,Rio de Janeiro,BR,4.9,99,Pendente,,,
134,Mecânica Automotiva Titanium,551126155801,Sites desatualizados,Oficina mecânica,São Paulo,BR,4.8,98,Pendente,,,
135,Rodrigo Gonçalves Advogado MEGADVOGADOS,5521978791488,Sites desatualizados,Advogado,Rio de Janeiro,BR,5,98,Pendente,,,
136,Anita Beauty Clinic,5521971744848,Sites desatualizados,Centro de saúde e beleza,Rio de Janeiro,BR,5,98,Pendente,,,
137,Imobiliária Sol Nascente,551139313666,Sites desatualizados,Imobiliária,São Paulo,BR,3.5,97,Pendente,,,
138,Barra Sul Autocenter,552124939995,Sites desatualizados,Oficina mecânica,Rio de Janeiro,BR,4.5,97,Pendente,,,
139,Godoy Soluções Imobiliária,5511968044055,Sites desatualizados,Imobiliária,São Paulo,BR,4.9,96,Pendente,,,
140,Clínica de Estética Peel Clinique,5521980136566,Sites desatualizados,Centro de saúde e beleza,Rio de Janeiro,BR,4.8,96,Pendente,,,
141,Oficina Mecanica Mineirinho,551120564868,Sites desatualizados,Mecânica para carros,São Paulo,BR,4.2,95,Pendente,,,
142,Daniel Medeiros Advocacia,5521998856717,Sites desatualizados,Serviços jurídicos,Rio de Janeiro,BR,5,92,Pendente,,,
143,Clínica Premium Odontologia Barra,5521975048181,Sites desatualizados,Clínica odontológica,Rio de Janeiro,BR,4.6,91,Pendente,,,
144,Imobiliária César & Cia,5511963248554,Sites desatualizados,Imobiliária,São Paulo,BR,4.7,90,Pendente,,,
145,Shopping House Imóveis - Lapa,551138339902,Sites desatualizados,Imobiliária,São Paulo,BR,3.9,90,Pendente,,,
146,Salão Sun Shine - Barra da Tijuca,552124956434,Sites desatualizados,Salão de Beleza,Rio de Janeiro,BR,4.6,90,Pendente,,,
147,Bella Star Centro de Beleza,5521987501571,Sites desatualizados,Salão de Beleza,Rio de Janeiro,BR,4.7,90,Pendente,,,
148,Clínica Estética - Esteticaline - São Paulo,5511987062296,Sites desatualizados,Centro de saúde e beleza,São Paulo,BR,5,89,Pendente,,,
149,Vizu Imobiliária Boutique,5521974766866,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,5,89,Pendente,,,
150,Oficina Mecânica Aliança,5511941370606,Sites desatualizados,Oficina mecânica,São Paulo,BR,4.9,88,Pendente,,,
151,Salão Werner Boutique - Barra da Tijuca,5521973630108,Sites desatualizados,Salão de Beleza,Rio de Janeiro,BR,4.8,88,Pendente,,,
152,Dentista Anna Leal Cirurgia BucoMaxiloFacial,5521997830958,Sites desatualizados,Clínica odontológica,Rio de Janeiro,BR,5,86,Pendente,,,
153,Clínica Dr. Gabriel de Luka Ilha do Governador,5521972641217,Sites desatualizados,Centro de saúde e beleza,Rio de Janeiro,BR,5,86,Pendente,,,
154,Dra. Tania Travassos - Método Alpha Clinic,5521997171457,Sites desatualizados,Centro de saúde e beleza,Rio de Janeiro,BR,5,85,Pendente,,,
155,Arcoverde Imobiliária Ltda.,551130314943,Sites desatualizados,Imobiliária,São Paulo,BR,4.3,84,Pendente,,,
156,Kelly Angelina de Carvalho Advocacia,5511974925249,Sites desatualizados,Assistência jurídica,São Paulo,BR,5,83,Pendente,,,
157,Lar de Carioca Imóveis,5521993848330,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,5,82,Pendente,,,
158,Noira Advocacia,5521998265662,Sites desatualizados,Serviços jurídicos,Rio de Janeiro,BR,4.9,81,Pendente,,,
159,Instituto Abib Dermatologia Barra da Tijuca,5521997408070,Sites desatualizados,Centro de saúde e beleza,Rio de Janeiro,BR,5,81,Pendente,,,
160,Sépua Estética e Spa Barra da Tijuca,5521997329710,Sites desatualizados,Spa,Rio de Janeiro,BR,5,81,Pendente,,,
161,Artestética Clínica de Estética Vila Mariana,551150839551,Sites desatualizados,Centro de saúde e beleza,São Paulo,BR,4.6,80,Pendente,,,
162,Clínica Oliveira Concept,5511998484404,Sites desatualizados,Centro de saúde e beleza,São Paulo,BR,5,78,Pendente,,,
163,Sorridents Parelheiros,551159263082,Sites desatualizados,Dentista,São Paulo,BR,4.1,78,Pendente,,,
164,Clínica de estética Tríade da Beleza,5511954429781,Sites desatualizados,Centro de saúde e beleza,São Paulo,BR,5,76,Pendente,,,
165,Clínica Bioestética Face e Corpo,5511984434945,Sites desatualizados,Esteticista,São Paulo,BR,5,75,Pendente,,,
166,Centro Odontológico Dra. Leila Márcia,5521966453084,Sites desatualizados,Clínica odontológica,Rio de Janeiro,BR,5,75,Pendente,,,
167,Imobiliária Rio de Janeiro,552130423384,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,4.9,75,Pendente,,,
168,Encanto Odontologia Zona leste SP,5511978082926,Sites desatualizados,Odontopediatra,São Paulo,BR,5,74,Pendente,,,
169,RCR Odonto - Clínica Odontológica,551129571806,Sites desatualizados,Dentista,São Paulo,BR,4.7,73,Pendente,,,
170,STUDIO HARA SALÃO DE BELEZA,5511998549492,Sites desatualizados,Salão de Beleza,São Paulo,BR,5,73,Pendente,,,
171,Jiselly Andrade Advogados,5521999080905,Sites desatualizados,Advogado trabalhista,Rio de Janeiro,BR,5,73,Pendente,,,
172,MR Imóveis & Consultoria Zona Sul RJ,5521991325547,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,5,73,Pendente,,,
173,Odonto Sorriso Clínica Odontológica,551132370210,Sites desatualizados,Dentista,São Paulo,BR,4.5,71,Pendente,,,
174,Sorrir de Novo Clínica Médica e Odontológica,5521996703800,Sites desatualizados,Policlínica,Rio de Janeiro,BR,4.7,69,Pendente,,,
175,Rodrigo Gonçalves Advogado Barra da Tijuca,5521964380127,Sites desatualizados,Advogado,Rio de Janeiro,BR,5,68,Pendente,,,
176,Imobiliária Foccus Imóveis,551136444509,Sites desatualizados,Imobiliária,São Paulo,BR,5,66,Pendente,,,
177,Acrópole Imóveis,551139178000,Sites desatualizados,Imobiliária,São Paulo,BR,3,65,Pendente,,,
178,Rawan Imóveis,551139170866,Sites desatualizados,Imobiliária,São Paulo,BR,4.1,64,Pendente,,,
179,Privilégio Imóveis Filial,552120519004,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,4.8,63,Pendente,,,
180,Dra Priscilla Priosti,5521982389189,Sites desatualizados,Centro de saúde e beleza,Rio de Janeiro,BR,5,63,Pendente,,,
181,Oficina Barra da Tijuca Lufcar,552124841970,Sites desatualizados,Oficina mecânica,Rio de Janeiro,BR,4.5,62,Pendente,,,
182,Juliana Castro Sobrancelhas,5521993585068,Sites desatualizados,Salão de Beleza,Rio de Janeiro,BR,5,62,Pendente,,,
183,REMAX Agility - Pirituba,551126406740,Sites desatualizados,Imobiliária,São Paulo,BR,4.7,61,Pendente,,,
184,CP Odontologia Dra Claudia Pavão,5521964038440,Sites desatualizados,Clínica odontológica,Rio de Janeiro,BR,5,61,Pendente,,,
185,Nota 10X Administração Imobiliária,552122206643,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,3.9,61,Pendente,,,
186,INVEXO imobiliária Ipanema RJ,552131283800,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,4.8,58,Pendente,,,
187,Miguez & Florentino Advogados,552125136848,Sites desatualizados,Advogado,Rio de Janeiro,BR,5,57,Pendente,,,
188,Studio de Beleza Estrela Barra,552124921938,Sites desatualizados,Salão de Beleza,Rio de Janeiro,BR,4.5,57,Pendente,,,
189,TOT Advogados,5521981990171,Sites desatualizados,Serviços jurídicos,Rio de Janeiro,BR,4.8,57,Pendente,,,
190,La Belle Salão de Beleza e Cosméticos,5511961602885,Sites desatualizados,Salão de Beleza,São Paulo,BR,4.8,56,Pendente,,,
191,Cigani Imóveis Barra da Tijuca,5521970324474,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,4.9,56,Pendente,,,
192,Rodrigo Lobato Advogado,5521993139448,Sites desatualizados,Advogado,Rio de Janeiro,BR,4.9,55,Pendente,,,
193,Sérgio Mendes Imobiliária,552125604646,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,4.5,55,Pendente,,,
194,Clinica Walfare Estetica Avançada,5511967646656,Sites desatualizados,Centro de saúde e beleza,São Paulo,BR,4.9,54,Pendente,,,
195,Clínica Dentista do Povo - Tatuapé,551122252931,Sites desatualizados,Clínica odontológica,São Paulo,BR,4.3,54,Pendente,,,
196,Villa Ipanema Imobiliária,5521964482218,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,4.1,54,Pendente,,,
197,J. B. Andrade Imóveis,552132535339,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,3.8,54,Pendente,,,
198,Dr. Cristhian Seripierri Advogado criminalista,5511947892754,Sites desatualizados,Advogado criminal,São Paulo,BR,5,53,Pendente,,,
199,People Hair Stylist Aclimação,551132710227,Sites desatualizados,Salão de Beleza,São Paulo,BR,4.9,53,Pendente,,,
200,Alli Vallim Advogados,5521977045555,Sites desatualizados,Serviços jurídicos,Rio de Janeiro,BR,5,53,Pendente,,,
201,Clínica Odontológica Leite & Rocha,5511947984130,Sites desatualizados,Clínica odontológica,São Paulo,BR,4.6,52,Pendente,,,
202,RR Clínica Odontológica,5521979858731,Sites desatualizados,Clínica odontológica,Rio de Janeiro,BR,4.7,52,Pendente,,,
203,Clínica Fernanda Reis Paraíso Estética Íntima,5511969433333,Sites desatualizados,Centro de saúde e beleza,São Paulo,BR,5,50,Pendente,,,
204,Dra Roberta Andrade - Advogada,5521974984921,Sites desatualizados,Advogado trabalhista,Rio de Janeiro,BR,5,49,Pendente,,,
205,OdontoCompany Barra da Tijuca,5521990688153,Sites desatualizados,Clínica odontológica,Rio de Janeiro,BR,4.7,49,Pendente,,,
206,Ohanne Advocacia,5521965238559,Sites desatualizados,Advogado,Rio de Janeiro,BR,4.9,49,Pendente,,,
207,Essentia Odonto Shopping Downtown,552135479233,Sites desatualizados,Clínica odontológica,Rio de Janeiro,BR,4.4,48,Pendente,,,
208,Vip Auto Care,5521995060742,Sites desatualizados,Oficina mecânica,Rio de Janeiro,BR,4.2,48,Pendente,,,
